,Team,Stadium,Lat,Lon
52,Pontevedra,https://en.wikipedia.org/wiki/Estadio_Pasar%C3%B3n,42.438056,-8.641111
53,Almería (rugby),https://en.wikipedia.org/wiki/Estadio_Municipal_Juan_Rojas,36.861944,-2.445278
54,Leganés,https://en.wikipedia.org/wiki/Estadio_Municipal_de_Butarque,40.340278,-3.760833
55,Cisneros (rugby),https://en.wikipedia.org/wiki/Estadio_Nacional_Complutense,40.437778,-3.728611
56,Racing Ferrol,https://en.wikipedia.org/wiki/Estadio_de_la_Malata,43.491258,-8.239017
57,Melilla,https://en.wikipedia.org/wiki/Estadio_%C3%81lvarez_Claro,35.285,-2.949444
58,Linares,https://en.wikipedia.org/wiki/Estadio_Linarejos,38.103056,-3.623056
59,Gimnàstic,https://en.wikipedia.org/wiki/Nou_Estadi_de_Tarragona,41.126944,1.272778
60,Compostela,https://en.wikipedia.org/wiki/Estadio_Vero_Boquete_de_San_L%C3%A1zaro,42.882767,-8.516014
61,Sabadell,https://en.wikipedia.org/wiki/Estadi_de_la_Nova_Creu_Alta,41.554722,2.091944
62,Extremadura,https://en.wikipedia.org/wiki/Estadio_Francisco_de_la_Hera,38.684411,-6.414606
63,Terrassa,https://en.wikipedia.org/wiki/Estadi_Ol%C3%ADmpic_de_Terrassa,41.576133,2.011142
64,Gijón Mariners (American football)CSI Gijón (horse jumping),https://en.wikipedia.org/wiki/Las_Mestas_Sports_Complex,43.531667,-5.635833
65,Tudelano,https://en.wikipedia.org/wiki/Estadio_Ciudad_de_Tudela,42.0575,-1.611944
67,San Fernando,https://en.wikipedia.org/wiki/Estadio_Iberoamericano,36.47,-6.207222
0,Borussia Dortmund,https://en.wikipedia.org/wiki/Westfalenstadion,51.492569,7.451842
1,FC Bayern Munich,https://en.wikipedia.org/wiki/Allianz_Arena,48.218775,11.624753
2,Hertha BSC,https://en.wikipedia.org/wiki/Olympiastadion_(Berlin),52.514722,13.239444
3,FC Schalke 04,https://en.wikipedia.org/wiki/Arena_AufSchalke,51.554503,7.067589
4,VfB Stuttgart,https://en.wikipedia.org/wiki/Mercedes-Benz_Arena_(Stuttgart),48.792269,9.232031
5,—,https://en.wikipedia.org/wiki/Olympiastadion_(Munich),48.173056,11.546667
6,Hamburger SV,https://en.wikipedia.org/wiki/Volksparkstadion,53.587158,9.898617
7,Fortuna Düsseldorf,https://en.wikipedia.org/wiki/Merkur_Spiel-Arena,51.261667,6.733056
8,Borussia Mönchengladbach,https://en.wikipedia.org/wiki/Borussia-Park,51.174583,6.385464
9,Eintracht Frankfurt,https://en.wikipedia.org/wiki/Waldstadion_(Frankfurt),50.068611,8.645278
10,1. FC Nürnberg,https://en.wikipedia.org/wiki/Max-Morlock-Stadion,49.426111,11.125833
11,1. FC Köln,https://en.wikipedia.org/wiki/M%C3%BCngersdorfer_Stadion,50.933497,6.874997
12,1. FC Kaiserslautern,https://en.wikipedia.org/wiki/Fritz-Walter-Stadion,49.434722,7.776667
13,Hannover 96,https://en.wikipedia.org/wiki/Niedersachsenstadion,52.360067,9.731197
14,RB Leipzig,https://en.wikipedia.org/wiki/Red_Bull_Arena_(Leipzig),51.345794,12.348219
15,SV Werder Bremen,https://en.wikipedia.org/wiki/Weser-Stadion,53.066394,8.837628
16,1. FC Saarbrücken,https://en.wikipedia.org/wiki/Ludwigsparkstadion,49.2475,6.984167
17,KFC Uerdingen 05,https://en.wikipedia.org/wiki/Grotenburg-Stadion,51.338889,6.603611
18,1. FSV Mainz 05,https://en.wikipedia.org/wiki/Opel_Arena_(stadium),49.984167,8.224167
19,Alemannia Aachen,https://en.wikipedia.org/wiki/New_Tivoli,50.793333,6.097222
20,Dynamo Dresden,https://en.wikipedia.org/wiki/Rudolf-Harbig-Stadion,51.040278,13.747778
21,MSV Duisburg,https://en.wikipedia.org/wiki/MSV-Arena,51.409033,6.778664
22,FC Augsburg,https://en.wikipedia.org/wiki/Augsburg_Arena,48.323139,10.886
23,Bayer 04 Leverkusen,https://en.wikipedia.org/wiki/BayArena,51.038256,7.002206
24,TSG 1899 Hoffenheim,https://en.wikipedia.org/wiki/Rhein-Neckar-Arena,49.238083,8.887611
25,VfL Wolfsburg,https://en.wikipedia.org/wiki/Volkswagen_Arena,52.432639,10.803889
26,Karlsruher SC,https://en.wikipedia.org/wiki/Wildparkstadion,49.02,8.413056
27,FC St.Pauli,https://en.wikipedia.org/wiki/Millerntor-Stadion,53.554583,9.967667
28,F.C. Hansa Rostock,https://en.wikipedia.org/wiki/Ostseestadion,54.08495,12.095189
29,VfL Bochum,https://en.wikipedia.org/wiki/Ruhrstadion,51.489881,7.236544
30,Arminia Bielefeld,https://en.wikipedia.org/wiki/Bielefelder_Alm,52.031944,8.516667
31,1. FC Magdeburg,https://en.wikipedia.org/wiki/MDCC-Arena,52.125556,11.670833
32,SV Waldhof Mannheim,https://en.wikipedia.org/wiki/Carl-Benz-Stadion,49.479444,8.5025
33,SC Freiburg,https://en.wikipedia.org/wiki/Schwarzwald-Stadion,47.988889,7.893056
34,Borussia Neunkirchen,https://en.wikipedia.org/wiki/Ellenfeldstadion,49.336667,7.179722
35,Eintracht Braunschweig,https://en.wikipedia.org/wiki/Eintracht-Stadion,52.29,10.521667
36,Wuppertaler SV,https://en.wikipedia.org/wiki/Stadion_am_Zoo,51.239083,7.105083
37,Energie Cottbus,https://en.wikipedia.org/wiki/Stadion_der_Freundschaft_(Cottbus),51.751389,14.345556
38,1. FC Union Berlin,https://en.wikipedia.org/wiki/Stadion_An_der_Alten_F%C3%B6rsterei,52.457222,13.568056
39,FC 08 Homburg,https://en.wikipedia.org/wiki/Waldstadion_Homburg,49.316111,7.355
40,SpVgg Bayreuth,https://en.wikipedia.org/wiki/Hans-Walter-Wild-Stadion,49.945278,11.586944
41,Rot-Weiß Oberhausen,https://en.wikipedia.org/wiki/Niederrheinstadion,51.493611,6.854444
42,TSV 1860 Munich,https://en.wikipedia.org/wiki/Gr%C3%BCnwalder_Stadion,48.110833,11.574444
43,Rot-Weiss Essen,https://en.wikipedia.org/wiki/Stadion_Essen,51.486667,6.976389
44,Kickers Offenbach,https://en.wikipedia.org/wiki/Sparda-Bank-Hessen-Stadion,50.094444,8.798611
45,SV Dessau 05,https://en.wikipedia.org/wiki/Paul_Greifzu_Stadium,51.823889,12.251667
